dataset,class,rank,feature_idx,mean_activation
instructed-deception,deceptive,20,49611,3.2416446208953857
instructed-deception,deceptive,21,47597,3.2298028469085693
instructed-deception,deceptive,22,63138,3.1816866397857666
instructed-deception,deceptive,23,49146,3.1737875938415527
instructed-deception,deceptive,24,414,3.1170740127563477
instructed-deception,deceptive,25,22580,3.111117124557495
instructed-deception,deceptive,26,22026,3.0946927070617676
instructed-deception,deceptive,27,14561,3.0830376148223877
instructed-deception,deceptive,28,65496,3.0605616569519043
instructed-deception,deceptive,29,38408,3.0288658142089844
instructed-deception,deceptive,30,61112,3.0196785926818848
instructed-deception,deceptive,31,46488,3.019138813018799
instructed-deception,deceptive,32,55739,3.0031096935272217
instructed-deception,deceptive,33,25864,2.9993984699249268
instructed-deception,deceptive,34,59435,2.9723780155181885
instructed-deception,deceptive,35,1239,2.9491126537323
instructed-deception,deceptive,36,30136,2.940256357192993
instructed-deception,deceptive,37,48339,2.938384771347046
instructed-deception,deceptive,38,40612,2.9367597103118896
instructed-deception,deceptive,39,31701,2.9243531227111816
instructed-deception,deceptive,40,29336,2.9188449382781982
instructed-deception,deceptive,41,16377,2.908642292022705
instructed-deception,deceptive,42,21237,2.8765220642089844
instructed-deception,deceptive,43,26784,2.8590822219848633
instructed-deception,deceptive,44,23354,2.8587989807128906
instructed-deception,deceptive,45,33948,2.85811185836792
instructed-deception,deceptive,46,2639,2.849257230758667
instructed-deception,deceptive,47,64806,2.835078001022339
instructed-deception,deceptive,48,47131,2.8298587799072266
instructed-deception,deceptive,49,56637,2.8193130493164062
instructed-deception,deceptive,50,15366,2.8138580322265625
convincing-game,honest,1,64806,6.794969081878662
convincing-game,honest,2,11658,4.550252914428711
convincing-game,honest,3,28870,4.258950233459473
convincing-game,honest,4,26912,4.1530351638793945
convincing-game,honest,5,49365,4.107533931732178
convincing-game,honest,6,51183,4.036773681640625
convincing-game,honest,7,32422,4.025763511657715
convincing-game,honest,8,49611,3.914565324783325
convincing-game,honest,9,55790,3.902608633041382
convincing-game,honest,10,47157,3.8965818881988525
convincing-game,honest,11,870,3.858537197113037
convincing-game,honest,12,63138,3.8511695861816406
convincing-game,honest,13,54933,3.8387205600738525
convincing-game,honest,14,44279,3.709611415863037
convincing-game,honest,15,25864,3.7082765102386475
convincing-game,honest,16,59268,3.705617904663086
convincing-game,honest,17,57369,3.6877810955047607
convincing-game,honest,18,22026,3.6633355617523193
convincing-game,honest,19,36889,3.662736177444458
convincing-game,honest,20,414,3.6397485733032227
convincing-game,honest,21,53277,3.5507149696350098
convincing-game,honest,22,47491,3.5104475021362305
convincing-game,honest,23,54935,3.4871721267700195
convincing-game,honest,24,53383,3.487027168273926
convincing-game,honest,25,34480,3.485488176345825
convincing-game,honest,26,21237,3.484964609146118
convincing-game,honest,27,22593,3.436582565307617
convincing-game,honest,28,16880,3.424203395843506
convincing-game,honest,29,32205,3.4228453636169434
convincing-game,honest,30,17148,3.4224226474761963
convincing-game,honest,31,34806,3.421004295349121
convincing-game,honest,32,22531,3.41007661819458
convincing-game,honest,33,2384,3.3730661869049072
convincing-game,honest,34,22580,3.36527156829834
convincing-game,honest,35,58700,3.347628355026245
convincing-game,honest,36,4432,3.344423532485962
convincing-game,honest,37,47597,3.339176654815674
convincing-game,honest,38,46160,3.3105132579803467
convincing-game,honest,39,2639,3.3093700408935547
convincing-game,honest,40,31601,3.300508975982666
convincing-game,honest,41,11977,3.288550615310669
convincing-game,honest,42,41532,3.275808811187744
convincing-game,honest,43,27230,3.269498825073242
convincing-game,honest,44,8324,3.246968984603882
convincing-game,honest,45,18343,3.2175755500793457
convincing-game,honest,46,3325,3.213393449783325
convincing-game,honest,47,39419,3.198997974395752
convincing-game,honest,48,5760,3.1704304218292236
convincing-game,honest,49,49219,3.165665864944458
convincing-game,honest,50,26784,3.149369239807129
convincing-game,deceptive,1,34806,4.500327110290527
convincing-game,deceptive,2,51183,4.496103286743164
convincing-game,deceptive,3,28870,4.357447147369385
convincing-game,deceptive,4,32422,4.350982666015625
convincing-game,deceptive,5,64806,4.322350978851318
convincing-game,deceptive,6,55790,4.04595422744751
convincing-game,deceptive,7,63138,3.930511713027954
convincing-game,deceptive,8,47157,3.91324520111084
convincing-game,deceptive,9,870,3.8914012908935547
convincing-game,deceptive,10,47491,3.778092861175537
convincing-game,deceptive,11,49365,3.7750489711761475
convincing-game,deceptive,12,22531,3.752634286880493
convincing-game,deceptive,13,59268,3.7181010246276855
convincing-game,deceptive,14,25864,3.6868207454681396
convincing-game,deceptive,15,26912,3.6699724197387695
convincing-game,deceptive,16,414,3.598381280899048
convincing-game,deceptive,17,54933,3.551236391067505
convincing-game,deceptive,18,49611,3.4874956607818604
convincing-game,deceptive,19,41532,3.4819939136505127
convincing-game,deceptive,20,17148,3.4508213996887207
convincing-game,deceptive,21,22026,3.3793087005615234
convincing-game,deceptive,22,44279,3.367633819580078
convincing-game,deceptive,23,22593,3.3536815643310547
convincing-game,deceptive,24,34480,3.3233776092529297
convincing-game,deceptive,25,57369,3.3113608360290527
convincing-game,deceptive,26,36889,3.30942702293396
convincing-game,deceptive,27,53360,3.306735038757324
convincing-game,deceptive,28,53277,3.302647113800049
convincing-game,deceptive,29,11658,3.3004913330078125
convincing-game,deceptive,30,21237,3.280626058578491
convincing-game,deceptive,31,58700,3.277379274368286
convincing-game,deceptive,32,28001,3.271930694580078
convincing-game,deceptive,33,54935,3.2547338008880615
convincing-game,deceptive,34,57366,3.1888301372528076
convincing-game,deceptive,35,31601,3.186840772628784
convincing-game,deceptive,36,2639,3.1856446266174316
convincing-game,deceptive,37,8324,3.1762094497680664
convincing-game,deceptive,38,47597,3.1735496520996094
convincing-game,deceptive,39,32205,3.162368059158325
convincing-game,deceptive,40,2384,3.153904676437378
convincing-game,deceptive,41,1239,3.141509771347046
convincing-game,deceptive,42,49354,3.141218900680542
convincing-game,deceptive,43,63062,3.1177549362182617
convincing-game,deceptive,44,39419,3.116778612136841
convincing-game,deceptive,45,28583,3.09958553314209
convincing-game,deceptive,46,16880,3.0905919075012207
convincing-game,deceptive,47,11186,3.085831880569458
convincing-game,deceptive,48,11977,3.0752413272857666
convincing-game,deceptive,49,26784,3.0730226039886475
convincing-game,deceptive,50,53383,3.0626943111419678
harm-pressure-choice,honest,1,28870,3.7588469982147217
harm-pressure-choice,honest,2,36889,3.665271759033203
harm-pressure-choice,honest,3,51183,3.489668846130371
harm-pressure-choice,honest,4,55209,3.4292831420898438
harm-pressure-choice,honest,5,44279,3.2022438049316406
harm-pressure-choice,honest,6,32422,3.157355785369873
harm-pressure-choice,honest,7,49354,3.149768352508545
harm-pressure-choice,honest,8,59268,3.097160816192627
harm-pressure-choice,honest,9,11977,3.06437087059021
harm-pressure-choice,honest,10,54935,3.0215518474578857
harm-pressure-choice,honest,11,22026,3.020444631576538
harm-pressure-choice,honest,12,41532,3.0071310997009277
harm-pressure-choice,honest,13,49611,2.94942045211792
harm-pressure-choice,honest,14,15314,2.935856580734253
harm-pressure-choice,honest,15,53196,2.9355380535125732
harm-pressure-choice,honest,16,34806,2.934009075164795
harm-pressure-choice,honest,17,12413,2.9036781787872314
harm-pressure-choice,honest,18,12272,2.898571252822876
harm-pressure-choice,honest,19,64806,2.8931448459625244
harm-pressure-choice,honest,20,49365,2.885237216949463
harm-pressure-choice,honest,21,17148,2.8615450859069824
harm-pressure-choice,honest,22,53383,2.8549225330352783
harm-pressure-choice,honest,23,37250,2.8450419902801514
harm-pressure-choice,honest,24,53277,2.844282627105713
harm-pressure-choice,honest,25,63138,2.8238048553466797
harm-pressure-choice,honest,26,57369,2.7948198318481445
harm-pressure-choice,honest,27,34480,2.7903952598571777
harm-pressure-choice,honest,28,57249,2.789983034133911
harm-pressure-choice,honest,29,10809,2.7560181617736816
harm-pressure-choice,honest,30,28583,2.742462158203125
harm-pressure-choice,honest,31,41640,2.7382373809814453
harm-pressure-choice,honest,32,414,2.7381417751312256
harm-pressure-choice,honest,33,9721,2.7326059341430664
harm-pressure-choice,honest,34,39419,2.6907074451446533
harm-pressure-choice,honest,35,18904,2.6892507076263428
harm-pressure-choice,honest,36,25227,2.6614513397216797
harm-pressure-choice,honest,37,20242,2.656158208847046
harm-pressure-choice,honest,38,31601,2.6504223346710205
harm-pressure-choice,honest,39,28001,2.6221511363983154
harm-pressure-choice,honest,40,32205,2.6130478382110596
harm-pressure-choice,honest,41,23451,2.597018003463745
harm-pressure-choice,honest,42,103,2.5927789211273193
harm-pressure-choice,honest,43,26912,2.5811924934387207
harm-pressure-choice,honest,44,37158,2.555511474609375
harm-pressure-choice,honest,45,58700,2.554344654083252
harm-pressure-choice,honest,46,22842,2.5501248836517334
harm-pressure-choice,honest,47,23263,2.5380361080169678
harm-pressure-choice,honest,48,29956,2.523160696029663
harm-pressure-choice,honest,49,20852,2.51830792427063
harm-pressure-choice,honest,50,38131,2.5175459384918213
harm-pressure-choice,deceptive,1,28870,3.855729341506958
harm-pressure-choice,deceptive,2,36889,3.6507482528686523
harm-pressure-choice,deceptive,3,51183,3.541515588760376
harm-pressure-choice,deceptive,4,32422,3.232274055480957
harm-pressure-choice,deceptive,5,59268,3.1521811485290527
harm-pressure-choice,deceptive,6,41532,3.141103506088257
harm-pressure-choice,deceptive,7,44279,3.0799574851989746
harm-pressure-choice,deceptive,8,55209,3.0597214698791504
harm-pressure-choice,deceptive,9,49354,3.0257081985473633
harm-pressure-choice,deceptive,10,34806,3.003248929977417
harm-pressure-choice,deceptive,11,53196,3.001244068145752
harm-pressure-choice,deceptive,12,11977,2.9156856536865234
harm-pressure-choice,deceptive,13,54935,2.8895580768585205
harm-pressure-choice,deceptive,14,49365,2.8881139755249023
harm-pressure-choice,deceptive,15,22026,2.8812386989593506
harm-pressure-choice,deceptive,16,49611,2.8650827407836914
harm-pressure-choice,deceptive,17,12413,2.8362035751342773
harm-pressure-choice,deceptive,18,53277,2.8323278427124023
harm-pressure-choice,deceptive,19,15314,2.8290088176727295
harm-pressure-choice,deceptive,20,10809,2.8172519207000732
harm-pressure-choice,deceptive,21,37250,2.807220458984375
harm-pressure-choice,deceptive,22,12272,2.8070032596588135
harm-pressure-choice,deceptive,23,57249,2.805819511413574
harm-pressure-choice,deceptive,24,63138,2.7946531772613525
harm-pressure-choice,deceptive,25,17148,2.789604902267456
harm-pressure-choice,deceptive,26,57369,2.782654047012329
harm-pressure-choice,deceptive,27,64806,2.782036542892456
harm-pressure-choice,deceptive,28,34480,2.7682013511657715
harm-pressure-choice,deceptive,29,53383,2.7266361713409424
harm-pressure-choice,deceptive,30,18904,2.7080609798431396
harm-pressure-choice,deceptive,31,41640,2.6754772663116455
harm-pressure-choice,deceptive,32,28583,2.6680290699005127
harm-pressure-choice,deceptive,33,414,2.6505513191223145
harm-pressure-choice,deceptive,34,39419,2.620131015777588
harm-pressure-choice,deceptive,35,103,2.5953361988067627
harm-pressure-choice,deceptive,36,9721,2.5925402641296387
harm-pressure-choice,deceptive,37,20242,2.5915687084198
harm-pressure-choice,deceptive,38,31601,2.5695641040802
harm-pressure-choice,deceptive,39,26912,2.55061936378479
harm-pressure-choice,deceptive,40,25227,2.5406737327575684
harm-pressure-choice,deceptive,41,20852,2.5388741493225098
harm-pressure-choice,deceptive,42,25864,2.5380287170410156
harm-pressure-choice,deceptive,43,23451,2.537281036376953
harm-pressure-choice,deceptive,44,23263,2.5313944816589355
harm-pressure-choice,deceptive,45,58700,2.529191017150879
harm-pressure-choice,deceptive,46,870,2.520866632461548
harm-pressure-choice,deceptive,47,32205,2.5201735496520996
harm-pressure-choice,deceptive,48,22842,2.5187134742736816
harm-pressure-choice,deceptive,49,28001,2.4976067543029785
harm-pressure-choice,deceptive,50,5760,2.4942855834960938
harm-pressure-knowledge-report,honest,1,51183,4.056962966918945
harm-pressure-knowledge-report,honest,2,28870,4.031139373779297
harm-pressure-knowledge-report,honest,3,64806,3.7104902267456055
harm-pressure-knowledge-report,honest,4,32422,3.6632537841796875
harm-pressure-knowledge-report,honest,5,59268,3.6465280055999756
harm-pressure-knowledge-report,honest,6,36889,3.498509168624878
harm-pressure-knowledge-report,honest,7,54935,3.4974331855773926
harm-pressure-knowledge-report,honest,8,22026,3.495590925216675
harm-pressure-knowledge-report,honest,9,11658,3.4447855949401855
harm-pressure-knowledge-report,honest,10,49611,3.373283624649048
harm-pressure-knowledge-report,honest,11,11977,3.3731930255889893
harm-pressure-knowledge-report,honest,12,47157,3.37052321434021
harm-pressure-knowledge-report,honest,13,55790,3.351083517074585
harm-pressure-knowledge-report,honest,14,12413,3.3075504302978516
harm-pressure-knowledge-report,honest,15,54933,3.2680768966674805
harm-pressure-knowledge-report,honest,16,49365,3.266817092895508
harm-pressure-knowledge-report,honest,17,414,3.1999146938323975
harm-pressure-knowledge-report,honest,18,870,3.141855478286743
harm-pressure-knowledge-report,honest,19,57249,3.1230623722076416
harm-pressure-knowledge-report,honest,20,47491,3.0811731815338135
harm-pressure-knowledge-report,honest,21,41532,2.9840383529663086
harm-pressure-knowledge-report,honest,22,44279,2.9707608222961426
harm-pressure-knowledge-report,honest,23,47597,2.9526822566986084
harm-pressure-knowledge-report,honest,24,45902,2.9385170936584473
harm-pressure-knowledge-report,honest,25,57369,2.9171249866485596
harm-pressure-knowledge-report,honest,26,22531,2.893826961517334
harm-pressure-knowledge-report,honest,27,17856,2.8807342052459717
harm-pressure-knowledge-report,honest,28,50982,2.8714873790740967
harm-pressure-knowledge-report,honest,29,53360,2.861603021621704
harm-pressure-knowledge-report,honest,30,50055,2.8595943450927734
harm-pressure-knowledge-report,honest,31,58295,2.8594472408294678
harm-pressure-knowledge-report,honest,32,21237,2.8483235836029053
harm-pressure-knowledge-report,honest,33,22842,2.8391871452331543
harm-pressure-knowledge-report,honest,34,46160,2.834291458129883
harm-pressure-knowledge-report,honest,35,15272,2.827953577041626
harm-pressure-knowledge-report,honest,36,37250,2.8213388919830322
harm-pressure-knowledge-report,honest,37,26912,2.8046576976776123
harm-pressure-knowledge-report,honest,38,34806,2.8011257648468018
harm-pressure-knowledge-report,honest,39,39419,2.801020383834839
harm-pressure-knowledge-report,honest,40,53383,2.799656391143799
harm-pressure-knowledge-report,honest,41,16880,2.7907915115356445
harm-pressure-knowledge-report,honest,42,22580,2.7885499000549316
harm-pressure-knowledge-report,honest,43,49833,2.7696473598480225
harm-pressure-knowledge-report,honest,44,27230,2.768399715423584
harm-pressure-knowledge-report,honest,45,41640,2.7668206691741943
harm-pressure-knowledge-report,honest,46,53277,2.7659237384796143
harm-pressure-knowledge-report,honest,47,61112,2.764991044998169
harm-pressure-knowledge-report,honest,48,23451,2.7499454021453857
harm-pressure-knowledge-report,honest,49,25864,2.7418222427368164
harm-pressure-knowledge-report,honest,50,49354,2.7411818504333496
harm-pressure-knowledge-report,deceptive,1,59268,4.222246170043945
harm-pressure-knowledge-report,deceptive,2,51183,4.136337757110596
harm-pressure-knowledge-report,deceptive,3,28870,4.0932135581970215
harm-pressure-knowledge-report,deceptive,4,32422,3.947239637374878
harm-pressure-knowledge-report,deceptive,5,64806,3.8416495323181152
harm-pressure-knowledge-report,deceptive,6,47157,3.6909239292144775
harm-pressure-knowledge-report,deceptive,7,36889,3.634953260421753
harm-pressure-knowledge-report,deceptive,8,49611,3.5189802646636963
harm-pressure-knowledge-report,deceptive,9,414,3.483715295791626
harm-pressure-knowledge-report,deceptive,10,49365,3.315699338912964
harm-pressure-knowledge-report,deceptive,11,54935,3.2726292610168457
harm-pressure-knowledge-report,deceptive,12,22531,3.2628984451293945
harm-pressure-knowledge-report,deceptive,13,22026,3.245509624481201
harm-pressure-knowledge-report,deceptive,14,55790,3.2376976013183594
harm-pressure-knowledge-report,deceptive,15,57369,3.219301223754883
harm-pressure-knowledge-report,deceptive,16,11977,3.191934823989868
harm-pressure-knowledge-report,deceptive,17,11658,3.1576054096221924
harm-pressure-knowledge-report,deceptive,18,54933,3.1202797889709473
harm-pressure-knowledge-report,deceptive,19,57249,3.0970630645751953
harm-pressure-knowledge-report,deceptive,20,41532,3.096665382385254
harm-pressure-knowledge-report,deceptive,21,45902,3.082096815109253
harm-pressure-knowledge-report,deceptive,22,870,3.0808069705963135
harm-pressure-knowledge-report,deceptive,23,34806,3.0540578365325928
harm-pressure-knowledge-report,deceptive,24,47597,3.0467324256896973
harm-pressure-knowledge-report,deceptive,25,46160,3.022465944290161
harm-pressure-knowledge-report,deceptive,26,17856,3.0178420543670654
harm-pressure-knowledge-report,deceptive,27,12413,2.9741315841674805
harm-pressure-knowledge-report,deceptive,28,57585,2.951261520385742
harm-pressure-knowledge-report,deceptive,29,44279,2.9478824138641357
harm-pressure-knowledge-report,deceptive,30,15272,2.9321987628936768
harm-pressure-knowledge-report,deceptive,31,21237,2.8861334323883057
harm-pressure-knowledge-report,deceptive,32,22842,2.8835573196411133
harm-pressure-knowledge-report,deceptive,33,50982,2.882803201675415
harm-pressure-knowledge-report,deceptive,34,47491,2.8725175857543945
harm-pressure-knowledge-report,deceptive,35,3325,2.8544206619262695
harm-pressure-knowledge-report,deceptive,36,25864,2.835725784301758
harm-pressure-knowledge-report,deceptive,37,58295,2.8314146995544434
harm-pressure-knowledge-report,deceptive,38,49219,2.816476821899414
harm-pressure-knowledge-report,deceptive,39,47131,2.8155438899993896
harm-pressure-knowledge-report,deceptive,40,26784,2.803054094314575
harm-pressure-knowledge-report,deceptive,41,10657,2.796837091445923
harm-pressure-knowledge-report,deceptive,42,53360,2.791503667831421
harm-pressure-knowledge-report,deceptive,43,103,2.7848198413848877
harm-pressure-knowledge-report,deceptive,44,49833,2.7675089836120605
harm-pressure-knowledge-report,deceptive,45,22580,2.7502894401550293
harm-pressure-knowledge-report,deceptive,46,23125,2.732368230819702
harm-pressure-knowledge-report,deceptive,47,50055,2.7308738231658936
harm-pressure-knowledge-report,deceptive,48,53277,2.729682445526123
harm-pressure-knowledge-report,deceptive,49,32205,2.721374750137329
harm-pressure-knowledge-report,deceptive,50,37250,2.7211923599243164
soft-trigger,honest,1,51183,4.261960506439209
soft-trigger,honest,2,32422,3.933356523513794
soft-trigger,honest,3,44279,3.779664993286133
soft-trigger,honest,4,49354,3.7705352306365967
soft-trigger,honest,5,54935,3.6800873279571533
soft-trigger,honest,6,36889,3.6214380264282227
soft-trigger,honest,7,58700,3.5343003273010254
soft-trigger,honest,8,55209,3.4971494674682617
soft-trigger,honest,9,59268,3.4336843490600586
soft-trigger,honest,10,15314,3.3714101314544678
soft-trigger,honest,11,31601,3.235485553741455
soft-trigger,honest,12,55790,3.2333054542541504
soft-trigger,honest,13,54933,3.2312729358673096
soft-trigger,honest,14,28583,3.20456862449646
soft-trigger,honest,15,49365,3.1961052417755127
soft-trigger,honest,16,414,3.179387092590332
soft-trigger,honest,17,34480,3.177950143814087
soft-trigger,honest,18,28870,3.137312173843384
soft-trigger,honest,19,63138,3.124484062194824
soft-trigger,honest,20,12272,3.08652925491333
soft-trigger,honest,21,18904,3.0802230834960938
soft-trigger,honest,22,39419,3.0517070293426514
soft-trigger,honest,23,12413,3.0510382652282715
soft-trigger,honest,24,53196,3.0162456035614014
soft-trigger,honest,25,22026,3.0094597339630127
soft-trigger,honest,26,22531,3.0018134117126465
soft-trigger,honest,27,41532,2.98757004737854
soft-trigger,honest,28,64806,2.9773237705230713
soft-trigger,honest,29,47491,2.9727671146392822
soft-trigger,honest,30,49611,2.9627201557159424
soft-trigger,honest,31,53383,2.947211265563965
soft-trigger,honest,32,37158,2.9368042945861816
soft-trigger,honest,33,49833,2.925396680831909
soft-trigger,honest,34,32205,2.899531602859497
soft-trigger,honest,35,58295,2.870546579360962
soft-trigger,honest,36,23263,2.860792398452759
soft-trigger,honest,37,35214,2.8483710289001465
soft-trigger,honest,38,11977,2.848329782485962
